id,ride_id,timestamp,rpm,speed_kph,torque_nm,voltage_out,battery_voltage_v,motor_current_a,motor_power_w,power_band,temp_c,humidity_pct,fluid_loss_l,sweat_rate_l_hr,skin_temp_c,ml_sweat_probability,sweat_reduction_active
542,RIDE_20260514_145130,2026-05-14 15:01:39.568482+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.25,45.88,,,,0,false
543,RIDE_20260514_145130,2026-05-14 15:01:40.745943+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.25,45.88,,,,0,false
544,RIDE_20260514_145130,2026-05-14 15:01:41.958995+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
545,RIDE_20260514_145130,2026-05-14 15:01:43.144387+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
546,RIDE_20260514_145130,2026-05-14 15:01:44.305676+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
547,RIDE_20260514_145130,2026-05-14 15:01:45.476385+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
548,RIDE_20260514_145130,2026-05-14 15:01:46.653284+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
549,RIDE_20260514_145130,2026-05-14 15:01:47.824929+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
550,RIDE_20260514_145130,2026-05-14 15:01:49.02056+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
551,RIDE_20260514_145130,2026-05-14 15:01:50.190911+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,45.97,,,,0,false
552,RIDE_20260514_145130,2026-05-14 15:01:51.401041+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,46.01,,,,0,false
553,RIDE_20260514_145130,2026-05-14 15:01:52.567209+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,46.01,,,,0,false
554,RIDE_20260514_145130,2026-05-14 15:01:53.745711+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,46.01,,,,0,false
555,RIDE_20260514_145130,2026-05-14 15:01:54.918926+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,46.01,,,,0,false
556,RIDE_20260514_145130,2026-05-14 15:01:56.117652+00,0,0,0,1,36.16,-0.09,-3.25,LOW,22.26,46.01,,,,0,false
557,RIDE_20260518_095037,2026-05-18 09:52:30.433944+00,0,0,0,1,40.61,-0.08,-3.25,LOW,17.75,44.33,0,0,29,0,false
558,RIDE_20260518_095037,2026-05-18 09:52:31.597024+00,0,0,0,1,40.61,-0.08,-3.25,LOW,17.75,44.33,0,0,29,0,false
559,RIDE_20260526_153652,2026-05-26 15:36:52.333269+00,0,0,0,1,38.65,-0.08,-3.09,LOW,35.5,28.42,,,,0.05,false
560,RIDE_20260526_153652,2026-05-26 15:36:54.404715+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
561,RIDE_20260526_153652,2026-05-26 15:36:55.713401+00,0,0,0,1,38.65,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
562,RIDE_20260526_153652,2026-05-26 15:36:56.890119+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
563,RIDE_20260526_153652,2026-05-26 15:36:58.076605+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
564,RIDE_20260526_153652,2026-05-26 15:36:59.211198+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
565,RIDE_20260526_153652,2026-05-26 15:37:00.389126+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
566,RIDE_20260526_153652,2026-05-26 15:37:01.647827+00,0,0,0,1,38.65,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
567,RIDE_20260526_153652,2026-05-26 15:37:02.836528+00,0,0,0,1,38.67,-0.08,-3.09,LOW,35.52,28.4,,,,0.05,false
568,RIDE_20260526_153652,2026-05-26 15:37:04.098123+00,0,0,0,1,38.67,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
569,RIDE_20260526_153652,2026-05-26 15:37:05.279868+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
570,RIDE_20260526_153652,2026-05-26 15:37:06.456148+00,0,0,0,1,38.67,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
571,RIDE_20260526_153652,2026-05-26 15:37:07.632659+00,0,0,0,1,38.67,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
572,RIDE_20260526_153652,2026-05-26 15:37:08.8077+00,0,0,0,1,38.67,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
573,RIDE_20260526_153652,2026-05-26 15:37:09.970777+00,0,0,0,1,38.66,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
574,RIDE_20260526_153652,2026-05-26 15:37:11.176355+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
575,RIDE_20260526_153652,2026-05-26 15:37:12.337177+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
576,RIDE_20260526_153652,2026-05-26 15:37:13.515945+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.49,28.39,,,,0.05,false
577,RIDE_20260526_153652,2026-05-26 15:37:14.819847+00,0,0,0,1,38.63,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
578,RIDE_20260526_153652,2026-05-26 15:37:16.008835+00,0,0,0,1,38.63,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
579,RIDE_20260526_153652,2026-05-26 15:37:17.151648+00,0,0,0,1,38.63,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
580,RIDE_20260526_153652,2026-05-26 15:37:18.319201+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
581,RIDE_20260526_153652,2026-05-26 15:37:19.482314+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
582,RIDE_20260526_153652,2026-05-26 15:37:20.793021+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
583,RIDE_20260526_153652,2026-05-26 15:37:21.997961+00,0,0,0,1,38.63,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
584,RIDE_20260526_153652,2026-05-26 15:37:23.146315+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.51,28.73,,,,0.05,false
585,RIDE_20260526_153652,2026-05-26 15:37:24.384643+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
586,RIDE_20260526_153652,2026-05-26 15:37:25.627797+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
587,RIDE_20260526_153652,2026-05-26 15:37:26.761608+00,0,0,0,1,38.61,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
588,RIDE_20260526_153652,2026-05-26 15:37:27.918984+00,0,0,0,1,38.62,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
589,RIDE_20260526_153652,2026-05-26 15:37:29.192626+00,0,0,0,1,38.61,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
590,RIDE_20260526_153652,2026-05-26 15:37:30.502876+00,0,0,0,1,38.61,-0.08,-3.09,LOW,35.52,28.94,,,,0.05,false
591,RIDE_20260526_154715,2026-05-26 15:47:15.158393+00,0,0,0,1,38.6,-0.08,-3.09,LOW,39.1,25.34,0,0,39,0.05,false
592,RIDE_20260526_154715,2026-05-26 15:47:16.332976+00,0,0,3.8,1,38.6,-0.08,-3.09,LOW,39.1,25.34,0,0,39,0.05,false
593,RIDE_20260526_154715,2026-05-26 15:47:17.562534+00,0,0,2.8,1,38.6,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
594,RIDE_20260526_154715,2026-05-26 15:47:18.714856+00,0,0,2.1,1,38.61,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
595,RIDE_20260526_154715,2026-05-26 15:47:19.890746+00,0,0,1.5,1,38.6,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
596,RIDE_20260526_154715,2026-05-26 15:47:21.068107+00,0,0,1.1,1,38.6,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
597,RIDE_20260526_154715,2026-05-26 15:47:22.246819+00,0,0,0.8,1,38.6,-0.08,-3.09,LOW,40.46,25.09,0,0,39,0.05,false
